Order,Publish Date,Title,Story Arc,Detail Link
61,04/1963,Tales of Suspense (1959) #40,-,https://cmro.travis-starnes.com/detail.php?idvalue=52
62,05/1963,Journey into Mystery (1952) #92,-,https://cmro.travis-starnes.com/detail.php?idvalue=53
63,05/1963,Fantastic Four (1961) #14,-,https://cmro.travis-starnes.com/detail.php?idvalue=54
64,05/1963,Tales to Astonish (1958) #43,-,https://cmro.travis-starnes.com/detail.php?idvalue=56
65,05/1963,Tales of Suspense (1959) #41,-,https://cmro.travis-starnes.com/detail.php?idvalue=57
66,06/1963,Journey into Mystery (1952) #93,-,https://cmro.travis-starnes.com/detail.php?idvalue=58
67,07/1963,Amazing Spider-Man (1963) #3,-,https://cmro.travis-starnes.com/detail.php?idvalue=49
68,06/1963,Strange Tales (1951) #109,-,https://cmro.travis-starnes.com/detail.php?idvalue=59
69,06/1963,Tales to Astonish (1958) #44,-,https://cmro.travis-starnes.com/detail.php?idvalue=60
70,06/1963,Tales of Suspense (1959) #42,-,https://cmro.travis-starnes.com/detail.php?idvalue=61
71,07/1963,Strange Tales (1951) #110 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=62
72,07/1963,Strange Tales (1951) #110 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16207
73,07/1963,Journey into Mystery (1952) #94,-,https://cmro.travis-starnes.com/detail.php?idvalue=63
74,07/1963,Tales to Astonish (1958) #45,-,https://cmro.travis-starnes.com/detail.php?idvalue=64
75,07/1963,Tales of Suspense (1959) #43,-,https://cmro.travis-starnes.com/detail.php?idvalue=65
76,06/1963,Fantastic Four (1961) #15,-,https://cmro.travis-starnes.com/detail.php?idvalue=66
77,08/1963,Strange Tales (1951) #111 [A Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=67
78,08/1963,Strange Tales (1951) #111 [C Story],-,https://cmro.travis-starnes.com/detail.php?idvalue=16218
79,07/1963,Fantastic Four (1961) #16,-,https://cmro.travis-starnes.com/detail.php?idvalue=68
80,08/1963,Fantastic Four (1961) #17,-,https://cmro.travis-starnes.com/detail.php?idvalue=70
81,08/1963,Journey into Mystery (1952) #95,-,https://cmro.travis-starnes.com/detail.php?idvalue=69
82,08/1963,Tales to Astonish (1958) #46,-,https://cmro.travis-starnes.com/detail.php?idvalue=71
83,08/1963,Tales of Suspense (1959) #44,-,https://cmro.travis-starnes.com/detail.php?idvalue=72
84,09/1963,Fantastic Four (1961) #18,-,https://cmro.travis-starnes.com/detail.php?idvalue=73
85,09/1963,Amazing Spider-Man (1963) #4,-,https://cmro.travis-starnes.com/detail.php?idvalue=74
86,09/1963,X-Men (1963) #1,-,https://cmro.travis-starnes.com/detail.php?idvalue=75
87,10/1963,Amazing Spider-Man (1963) #5,-,https://cmro.travis-starnes.com/detail.php?idvalue=76
